,year,size_acres
707,2005,0.1
708,2005,0.1
709,2005,0.1
710,2005,0.1
711,2005,0.5
712,2005,0.25
713,2005,5.0
714,2005,0.1
715,2005,0.1
716,2005,0.1
717,2005,0.1
718,2005,0.1
719,2005,0.1
720,2005,0.1
721,2005,0.1
722,2005,1185.0
723,2005,0.1
724,2005,0.5
725,2005,0.3
726,2005,0.1
727,2005,0.1
728,2005,0.1
729,2005,0.1
730,2005,0.1
731,2005,0.1
732,2005,0.5
733,2005,0.1
734,2005,0.1
735,2005,0.1
736,2005,0.2
737,2005,0.1
738,2005,0.1
739,2005,4.0
740,2005,0.1
741,2005,0.1
742,2005,0.2
743,2005,0.1
744,2005,0.1
745,2005,0.1
746,2005,0.1
747,2005,0.5
748,2005,0.1
749,2005,0.1
750,2005,0.1
751,2005,0.1
752,2005,0.1
753,2005,0.5
754,2005,0.1
755,2005,0.25
756,2005,0.1
757,2005,0.1
758,2005,5.0
759,2005,40.0
760,2005,5.8
761,2005,0.1
762,2005,60.0
763,2005,0.1
764,2005,0.1
765,2005,0.1
766,2005,0.1
767,2005,0.1
768,2005,0.1
769,2005,0.5
770,2005,0.1
771,2005,0.1
772,2005,8.0
773,2005,0.25
774,2005,3.0
775,2005,0.1
776,2005,530.0
777,2005,0.1
778,2005,2.0
779,2005,0.1
780,2005,0.1
781,2005,0.5
782,2005,0.1
783,2005,0.3
784,2005,0.1
785,2005,0.3
786,2005,0.3
787,2005,40.0
788,2005,0.5
789,2005,0.3
790,2005,0.1
791,2005,0.1
792,2005,0.1
793,2005,18.0
794,2005,39.0
795,2005,0.2
796,2005,0.2
797,2005,0.1
798,2005,0.1
799,2005,0.1
800,2005,0.1
801,2005,0.1
802,2005,0.1
803,2005,0.5
804,2005,0.1
805,2005,0.3
806,2005,0.1
807,2005,8.0
808,2005,0.4
809,2005,8.0
810,2005,4.0
811,2005,0.1
812,2005,0.1
813,2005,175.0
814,2005,0.1
815,2005,3.0
816,2005,8.0
817,2005,1.0
818,2005,1.0
819,2005,11.0
820,2005,0.24
821,2005,0.1
822,2005,0.1
823,2005,0.1
824,2005,8.0
825,2005,0.25
826,2005,0.1
827,2005,0.1
828,2005,0.1
829,2005,2.0
830,2005,0.1
831,2005,0.1
832,2005,1.6
833,2005,0.1
834,2005,0.1
835,2005,0.1
836,2005,0.1
837,2005,0.1
