,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed,DayPlayed,DayOfWeek
150,Hold On Loosely,.38 Special,KUFX,KUFX0277,2014-06-21 21:59:35,2014-06-21,Saturday
151,Hold On Loosely,.38 Special,KUFX,KUFX0673,2014-06-20 08:59:24,2014-06-20,Friday
152,Hold On Loosely,.38 Special,KUFX,KUFX0731,2014-06-20 04:59:13,2014-06-20,Friday
153,Hold On Loosely,.38 Special,KUFX,KUFX0888,2014-06-19 13:59:35,2014-06-19,Thursday
154,Hold On Loosely,.38 Special,KUFX,KUFX1072,2014-06-18 18:59:39,2014-06-18,Wednesday
155,Hold On Loosely,.38 Special,KUFX,KUFX1456,2014-06-17 02:09:22,2014-06-17,Tuesday
156,Hold On Loosely,.38 Special,KUFX,KUFX1685,2014-06-16 05:59:32,2014-06-16,Monday
157,Hold On Loosely,.38 Special,WLUP,WLUP0247,2014-06-22 01:58:46,2014-06-22,Sunday
158,Hold On Loosely,.38 Special,WLUP,WLUP0610,2014-06-20 17:58:54,2014-06-20,Friday
159,Hold On Loosely,.38 Special,WLUP,WLUP0918,2014-06-19 11:58:48,2014-06-19,Thursday
160,Hold On Loosely,.38 Special,WLUP,WLUP1203,2014-06-18 07:58:48,2014-06-18,Wednesday
161,Hold On Loosely,.38 Special,WLUP,WLUP1645,2014-06-16 04:59:09,2014-06-16,Monday
162,Hold On Loosely,.38 Special,WOFX,WOFX0196,2014-06-22 02:59:16,2014-06-22,Sunday
163,Hold On Loosely,.38 Special,WOFX,WOFX0539,2014-06-20 14:59:03,2014-06-20,Friday
164,Hold On Loosely,.38 Special,WOFX,WOFX0887,2014-06-18 21:58:51,2014-06-18,Wednesday
165,Hold On Loosely,.38 Special,WOFX,WOFX1037,2014-06-18 01:58:49,2014-06-18,Wednesday
166,Hold On Loosely,.38 Special,KSHE,KSHE0337,2014-06-21 09:59:33,2014-06-21,Saturday
167,Hold On Loosely,.38 Special,KSHE,KSHE0609,2014-06-20 05:59:44,2014-06-20,Friday
168,Hold On Loosely,.38 Special,KSHE,KSHE0967,2014-06-18 15:59:30,2014-06-18,Wednesday
169,Hold On Loosely,.38 Special,KSHE,KSHE1239,2014-06-17 00:59:29,2014-06-17,Tuesday
170,Rockin' Into the Night,.38 Special,KSHE,KSHE0654,2014-06-20 00:59:57,2014-06-20,Friday
171,Rockin' Into the Night,.38 Special,WBGG,WBGG1338,2014-06-16 22:58:30,2014-06-16,Monday
172,Rockin' Into the Night,.38 Special,WNCX,WNCX0002,2014-06-22 23:54:31,2014-06-22,Sunday
173,Rockin' Into the Night,.38 Special,WNCX,WNCX0221,2014-06-21 23:54:19,2014-06-21,Saturday
174,Rockin' Into the Night,.38 Special,WNCX,WNCX0685,2014-06-18 23:54:18,2014-06-18,Wednesday
175,Rockin' Into the Night,.38 Special,WRFX,WRFX0443,2014-06-20 18:58:27,2014-06-20,Friday
176,Rockin' Into the Night,.38 Special,WRFX,WRFX0747,2014-06-19 10:58:28,2014-06-19,Thursday
177,Rockin' Into the Night,.38 Special,WRFX,WRFX1081,2014-06-17 23:58:22,2014-06-17,Tuesday
178,Rockin' Into the Night,.38 Special,WXGL,WXGL0980,2014-06-19 09:58:49,2014-06-19,Thursday
179,Rockin' Into the Night,.38 Special,KCFX,KCFX0004,2014-06-22 20:59:13,2014-06-22,Sunday
180,Rockin' Into the Night,.38 Special,KCFX,KCFX0778,2014-06-19 10:59:03,2014-06-19,Thursday
181,Rockin' Into the Night,.38 Special,KCFX,KCFX1172,2014-06-17 05:59:24,2014-06-17,Tuesday
182,Rockin' Into the Night,.38 Special,KCFX,KCFX1281,2014-06-16 18:59:25,2014-06-16,Monday
183,Rockin' Into the Night,.38 Special,KUFX,KUFX1563,2014-06-16 15:59:07,2014-06-16,Monday
184,Rockin' Into the Night,.38 Special,WOFX,WOFX0055,2014-06-22 19:58:55,2014-06-22,Sunday
185,Rockin' Into the Night,.38 Special,WOFX,WOFX0637,2014-06-20 01:58:53,2014-06-20,Friday
186,Rockin' Into the Night,.38 Special,WOFX,WOFX1060,2014-06-17 23:58:50,2014-06-17,Tuesday
187,Rockin' Into the Night,.38 Special,WOFX,WOFX1329,2014-06-16 04:59:14,2014-06-16,Monday
188,Art For Arts Sake,10cc,KSHE,KSHE0090,2014-06-22 10:59:24,2014-06-22,Sunday
189,Kryptonite,3 Doors Down,KLOS,KLOS0572,2014-06-20 03:59:02,2014-06-20,Friday
190,Kryptonite,3 Doors Down,KLOS,KLOS0916,2014-06-18 13:59:12,2014-06-18,Wednesday
191,Kryptonite,3 Doors Down,KSHE,KSHE0199,2014-06-21 23:59:49,2014-06-21,Saturday
192,Kryptonite,3 Doors Down,KSHE,KSHE0580,2014-06-20 08:59:38,2014-06-20,Friday
193,Kryptonite,3 Doors Down,KSHE,KSHE0950,2014-06-18 17:59:24,2014-06-18,Wednesday
194,Kryptonite,3 Doors Down,KUFX,KUFX0122,2014-06-22 12:59:30,2014-06-22,Sunday
