,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed
183,Rockin' Into the Night,.38 Special,KUFX,KUFX1563,1970-01-01 00:00:01.402934347
184,Rockin' Into the Night,.38 Special,WOFX,WOFX0055,1970-01-01 00:00:01.403467135
185,Rockin' Into the Night,.38 Special,WOFX,WOFX0637,1970-01-01 00:00:01.403229533
186,Rockin' Into the Night,.38 Special,WOFX,WOFX1060,1970-01-01 00:00:01.403049530
187,Rockin' Into the Night,.38 Special,WOFX,WOFX1329,1970-01-01 00:00:01.402894754
188,Art For Arts Sake,10cc,KSHE,KSHE0090,1970-01-01 00:00:01.403434764
189,Kryptonite,3 Doors Down,KLOS,KLOS0572,1970-01-01 00:00:01.403236742
190,Kryptonite,3 Doors Down,KLOS,KLOS0916,1970-01-01 00:00:01.403099952
191,Kryptonite,3 Doors Down,KSHE,KSHE0199,1970-01-01 00:00:01.403395189
192,Kryptonite,3 Doors Down,KSHE,KSHE0580,1970-01-01 00:00:01.403254778
193,Kryptonite,3 Doors Down,KSHE,KSHE0950,1970-01-01 00:00:01.403114364
194,Kryptonite,3 Doors Down,KUFX,KUFX0122,1970-01-01 00:00:01.403441970
195,Kryptonite,3 Doors Down,KUFX,KUFX0480,1970-01-01 00:00:01.403323169
196,Kryptonite,3 Doors Down,KUFX,KUFX0619,1970-01-01 00:00:01.403276363
197,Kryptonite,3 Doors Down,KUFX,KUFX1533,1970-01-01 00:00:01.402945178
198,Kryptonite,3 Doors Down,KUFX,KUFX1701,1970-01-01 00:00:01.402891170
199,Kryptonite,3 Doors Down,WDVE,WDVE0072,1970-01-01 00:00:01.403449115
200,Kryptonite,3 Doors Down,WDVE,WDVE0875,1970-01-01 00:00:01.403107107
201,Kryptonite,3 Doors Down,WDVE,WDVE1157,1970-01-01 00:00:01.402963107
202,Loser,3 Doors Down,KSHE,KSHE1445,1970-01-01 00:00:01.402887584
203,When I'm Gone,3 Doors Down,KSHE,KSHE0338,1970-01-01 00:00:01.403344773
204,When I'm Gone,3 Doors Down,KSHE,KSHE0929,1970-01-01 00:00:01.403121569
205,When I'm Gone,3 Doors Down,KUFX,KUFX0414,1970-01-01 00:00:01.403341168
206,When I'm Gone,3 Doors Down,KUFX,KUFX0754,1970-01-01 00:00:01.403233153
207,When I'm Gone,3 Doors Down,KUFX,KUFX0976,1970-01-01 00:00:01.403157570
208,When I'm Gone,3 Doors Down,KUFX,KUFX1081,1970-01-01 00:00:01.403114348
209,What's Up?,4 Non Blondes,KUFX,KUFX0307,1970-01-01 00:00:01.403377172
210,What's Up?,4 Non Blondes,KUFX,KUFX1173,1970-01-01 00:00:01.403081949
211,What's Up?,4 Non Blondes,KUFX,KUFX1718,1970-01-01 00:00:01.402887569
212,Take On Me,a-ha,KUFX,KUFX1285,1970-01-01 00:00:01.403049554
213,"Baby, Please Don't Go",AC/DC,KRFX,KRFX1299,1970-01-01 00:00:01.402970578
214,Back In Black,AC/DC,KCFX,KCFX0217,1970-01-01 00:00:01.403391568
215,Back In Black,AC/DC,KCFX,KCFX1003,1970-01-01 00:00:01.403085561
216,Back In Black,AC/DC,KCFX,KCFX1410,1970-01-01 00:00:01.402891159
217,Back In Black,AC/DC,KGB,KGB0416,1970-01-01 00:00:01.403344721
218,Back In Black,AC/DC,KGB,KGB0615,1970-01-01 00:00:01.403272728
219,Back In Black,AC/DC,KGLK,KGLK0187,1970-01-01 00:00:01.403423926
220,Back In Black,AC/DC,KGLK,KGLK0351,1970-01-01 00:00:01.403369919
221,Back In Black,AC/DC,KGLK,KGLK0752,1970-01-01 00:00:01.403236718
222,Back In Black,AC/DC,KGLK,KGLK1567,1970-01-01 00:00:01.402932487
223,Back In Black,AC/DC,KGON,KGON0292,1970-01-01 00:00:01.403351939
224,Back In Black,AC/DC,KGON,KGON0774,1970-01-01 00:00:01.403193554
225,Back In Black,AC/DC,KGON,KGON0929,1970-01-01 00:00:01.403143145
226,Back In Black,AC/DC,KGON,KGON1110,1970-01-01 00:00:01.403081933
227,Back In Black,AC/DC,KGON,KGON1324,1970-01-01 00:00:01.402984760
228,Back In Black,AC/DC,KGON,KGON1492,1970-01-01 00:00:01.402927157
229,Back In Black,AC/DC,KLOS,KLOS0200,1970-01-01 00:00:01.403384354
230,Back In Black,AC/DC,KLOS,KLOS0935,1970-01-01 00:00:01.403085564
231,Back In Black,AC/DC,KRFX,KRFX0007,1970-01-01 00:00:01.403474312
232,Back In Black,AC/DC,KRFX,KRFX0145,1970-01-01 00:00:01.403423905
233,Back In Black,AC/DC,KRFX,KRFX0434,1970-01-01 00:00:01.403326715
234,Back In Black,AC/DC,KRFX,KRFX0587,1970-01-01 00:00:01.403272714
235,Back In Black,AC/DC,KRFX,KRFX0739,1970-01-01 00:00:01.403211515
236,Back In Black,AC/DC,KRFX,KRFX0989,1970-01-01 00:00:01.403117923
237,Back In Black,AC/DC,KRFX,KRFX1320,1970-01-01 00:00:01.402963103
238,Back In Black,AC/DC,KRFX,KRFX1511,1970-01-01 00:00:01.402887518
239,Back In Black,AC/DC,KSEG,KSEG0321,1970-01-01 00:00:01.403380764
240,Back In Black,AC/DC,KSEG,KSEG0539,1970-01-01 00:00:01.403308742
241,Back In Black,AC/DC,KSEG,KSEG0967,1970-01-01 00:00:01.403175550
242,Back In Black,AC/DC,KSHE,KSHE0201,1970-01-01 00:00:01.403395189
243,Back In Black,AC/DC,KSHE,KSHE0565,1970-01-01 00:00:01.403261968
244,Back In Black,AC/DC,KSHE,KSHE0932,1970-01-01 00:00:01.403121569
245,Back In Black,AC/DC,KSHE,KSHE1131,1970-01-01 00:00:01.403010035
246,Back In Black,AC/DC,KSLX,KSLX0677,1970-01-01 00:00:01.402948781
247,Back In Black,AC/DC,KUFX,KUFX0127,1970-01-01 00:00:01.403438351
248,Back In Black,AC/DC,KUFX,KUFX0550,1970-01-01 00:00:01.403297949
249,Back In Black,AC/DC,KUFX,KUFX1188,1970-01-01 00:00:01.403078352
250,Back In Black,AC/DC,KZEP,KZEP0805,1970-01-01 00:00:01.403189929
251,Back In Black,AC/DC,KZEP,KZEP0982,1970-01-01 00:00:01.403121512
252,Back In Black,AC/DC,KZEP,KZEP1168,1970-01-01 00:00:01.403053111
253,Back In Black,AC/DC,KZOK,KZOK0469,1970-01-01 00:00:01.403135662
254,Back In Black,AC/DC,KZOK,KZOK0826,1970-01-01 00:00:01.402962875
255,Back In Black,AC/DC,KZPS,KZPS0053,1970-01-01 00:00:01.403467092
256,Back In Black,AC/DC,KZPS,KZPS0233,1970-01-01 00:00:01.403402286
257,Back In Black,AC/DC,KZPS,KZPS0373,1970-01-01 00:00:01.403351891
258,Back In Black,AC/DC,KZPS,KZPS0767,1970-01-01 00:00:01.403222305
259,Back In Black,AC/DC,KZPS,KZPS0932,1970-01-01 00:00:01.403164702
260,Back In Black,AC/DC,KZPS,KZPS1123,1970-01-01 00:00:01.403103496
261,Back In Black,AC/DC,KZPS,KZPS1462,1970-01-01 00:00:01.402952296
262,Back In Black,AC/DC,KZPS,KZPS1654,1970-01-01 00:00:01.402883908
263,Back In Black,AC/DC,WAXQ,WAXQ0024,1970-01-01 00:00:01.403459888
264,Back In Black,AC/DC,WAXQ,WAXQ0203,1970-01-01 00:00:01.403395107
265,Back In Black,AC/DC,WAXQ,WAXQ0714,1970-01-01 00:00:01.403211500
266,Back In Black,AC/DC,WBGG,WBGG0263,1970-01-01 00:00:01.403398718
267,Back In Black,AC/DC,WBGG,WBGG0548,1970-01-01 00:00:01.403301495
268,Back In Black,AC/DC,WBGG,WBGG0856,1970-01-01 00:00:01.403186319
269,Back In Black,AC/DC,WBGG,WBGG1395,1970-01-01 00:00:01.402937916
270,Back In Black,AC/DC,WBGG,WBGG1528,1970-01-01 00:00:01.402883915
271,Back In Black,AC/DC,WBIG,WBIG0251,1970-01-01 00:00:01.403398714
272,Back In Black,AC/DC,WBIG,WBIG0322,1970-01-01 00:00:01.403366295
273,Back In Black,AC/DC,WBIG,WBIG0789,1970-01-01 00:00:01.403204310
