"","county","state","trumptwoparty","median_house_inc","median_age","pct_female","pct_white","pct_black","pct_hispanic","pct_evangelical","unemployment","pct_manufacturing","pct_uninsured","pct_male_married","pct_female_married","pct_no_hs","pct_hs","pct_some_coll","pct_ba","pct_grad","pct_vet","pct_foreign_born","logtotalvotes"
"1410","Mineral County, Montana","MT",71.930772,36.031,51.599998,0.49700001,0.97299999,0.001,0.016000001,0.082000002,0.118,0.097000003,0.198,0.458,0.463,0.106,0.41800001,0.345,0.097999997,0.033,0.182,0.016000001,7.6024013
"1411","Missoula County, Montana","MT",41.362259,46.164,34.799999,0.49700001,0.90100002,0.0049999999,0.029999999,0.079000004,0.082000002,0.037999999,0.14399999,0.45699999,0.447,0.046999998,0.227,0.31900001,0.25400001,0.153,0.093999997,0.025,10.985733
"1412","Musselshell County, Montana","MT",85.558939,39.517,48.5,0.50099999,0.92500001,0.0020000001,0.033,0.083999999,0.046,0.061999999,0.139,0.58899999,0.57200003,0.090999998,0.40200001,0.34,0.107,0.061000001,0.17,0.018999999,7.7898684
"1413","Park County, Montana","MT",58.075804,43.932,46.599998,0.49700001,0.94199997,0.0049999999,0.027000001,0.085000001,0.054000001,0.048999999,0.156,0.51800001,0.52600002,0.041999999,0.331,0.27599999,0.233,0.118,0.11,0.022,9.1384144
"1414","Petroleum County, Montana","MT",90.259743,43.75,48.900002,0.47600001,0.986,0,0.014,0.085000001,0.066,0.039000001,0.287,0.57599998,0.62400001,0.032000002,0.52499998,0.23800001,0.125,0.081,0.15800001,0.0049999999,5.7745514
"1415","Phillips County, Montana","MT",84.419399,36.071,47.900002,0.49900001,0.85600001,0,0.021,0.13,0.063000001,0.013,0.20299999,0.61400002,0.60299999,0.086999997,0.373,0.347,0.153,0.039999999,0.12899999,0.012,7.6783261
"1416","Pondera County, Montana","MT",70.910525,42.264,41.900002,0.50599998,0.81300002,0.003,0.017999999,0.118,0.059999999,0.037999999,0.17299999,0.505,0.5,0.107,0.33000001,0.34200001,0.17399999,0.046999998,0.111,0.026000001,7.9069157
"1417","Powder River County, Montana","MT",87.438178,46.346,52,0.50700003,0.94,0,0.021,0.133,0.045000002,0.0040000002,0.15899999,0.597,0.51099998,0.061000001,0.294,0.40000001,0.197,0.046999998,0.055,0,6.9574976
"1418","Powell County, Montana","MT",78.643411,40,45.400002,0.38100001,0.90499997,0.0049999999,0.025,0.068000004,0.022,0.064000003,0.146,0.35600001,0.56599998,0.111,0.37,0.32600001,0.121,0.071999997,0.133,0.0040000002,7.9352293
"1419","Prairie County, Montana","MT",84.7561,42.383,51.900002,0.46599999,0.96100003,0,0.0080000004,0.43700001,0.081,0.0089999996,0.12899999,0.56300002,0.65799999,0.096000001,0.46399999,0.28200001,0.1,0.057,0.12,0.016000001,6.5352411
"1420","Ravalli County, Montana","MT",70.41316,39.48,47.599998,0.50400001,0.93199998,0.003,0.032000002,0.094999999,0.082000002,0.090999998,0.178,0.54000002,0.52499998,0.081,0.33899999,0.336,0.16599999,0.077,0.13600001,0.018999999,10.014402
"1421","Richland County, Montana","MT",85.346144,65.084,38,0.48800001,0.91100001,0.0040000002,0.044,0.163,0.025,0.052000001,0.18799999,0.53600001,0.58399999,0.075999998,0.38499999,0.37400001,0.114,0.050999999,0.090000004,0.017999999,8.4861155
"1422","Roosevelt County, Montana","MT",53.529936,32.974,30.4,0.49900001,0.36700001,0.001,0.011,0.1,0.068000004,0.027000001,0.28099999,0.38499999,0.38800001,0.167,0.38800001,0.31099999,0.1,0.035,0.077,0.0049999999,8.2019348
"1423","Rosebud County, Montana","MT",69.537038,51.159,36.900002,0.51200002,0.58700001,0.0020000001,0.041999999,0.101,0.106,0.011,0.23899999,0.56199998,0.51499999,0.125,0.32699999,0.34900001,0.148,0.050000001,0.114,0.013,8.1432266
"1424","Sanders County, Montana","MT",77.870637,32.257,51.5,0.48500001,0.89999998,0.001,0.025,0.117,0.093000002,0.059,0.21699999,0.61000001,0.61400002,0.116,0.419,0.30000001,0.12899999,0.035999998,0.16,0.026000001,8.6844015
"1425","Sheridan County, Montana","MT",72.235155,50.664,47.099998,0.49399999,0.92299998,0.001,0.017999999,0.061000001,0.027000001,0.018999999,0.085000001,0.56199998,0.56699997,0.086000003,0.30399999,0.39700001,0.178,0.035,0.094999999,0.015,7.5131636
"1426","Silver Bow County, Montana","MT",42.520839,37.749,40.599998,0.49200001,0.91399997,0.0049999999,0.039999999,0.048999999,0.07,0.033,0.15700001,0.46200001,0.43399999,0.090999998,0.34900001,0.31400001,0.168,0.079000004,0.106,0.023,9.7074118
"1427","Stillwater County, Montana","MT",80.126941,58.259,46.700001,0.49399999,0.94099998,0.0020000001,0.029999999,0.112,0.035999998,0.086000003,0.11,0.65600002,0.64700001,0.059999999,0.37200001,0.331,0.152,0.085000001,0.138,0.015,8.4900274
"1428","Sweet Grass County, Montana","MT",79.869807,50.588,46.099998,0.51200002,0.94300002,0.0020000001,0.017999999,0.102,0.0089999996,0.027000001,0.112,0.62300003,0.625,0.075999998,0.38100001,0.292,0.2,0.052000001,0.125,0.012,7.6496925
"1429","Teton County, Montana","MT",72.867697,46.36,44.799999,0.50400001,0.94400001,0.001,0.015,0.13,0.050999999,0.030999999,0.147,0.60000002,0.56699997,0.075000003,0.34299999,0.34900001,0.16500001,0.068000004,0.127,0.017000001,8.0643215
"1430","Toole County, Montana","MT",78.830963,44.804,41.700001,0.42899999,0.88300002,0.0020000001,0.030999999,0.175,0.030999999,0.026000001,0.214,0.49599999,0.56699997,0.154,0.366,0.34599999,0.104,0.029999999,0.132,0.046999998,7.6157908
"1431","Treasure County, Montana","MT",85.609758,41.103,49,0.46799999,0.89200002,0,0.068999998,0,0.0080000004,0.013,0.094999999,0.59299999,0.64999998,0.102,0.35100001,0.35800001,0.147,0.043000001,0.107,0.02,6.0935698
"1432","Valley County, Montana","MT",75.279015,49.141,45.5,0.498,0.85600001,0.0020000001,0.02,0.096000001,0.026000001,0.012,0.125,0.62699997,0.58200002,0.071999997,0.37799999,0.35699999,0.141,0.052000001,0.12,0.012,8.2625589
"1433","Wheatland County, Montana","MT",79.682177,32.723,46.5,0.486,0.94800001,0,0.021,0.186,0.034000002,0.02,0.15800001,0.55699998,0.59899998,0.228,0.36399999,0.228,0.14,0.041000001,0.126,0.0070000002,6.8501263
"1434","Wibaux County, Montana","MT",89.382237,38.553,51.200001,0.50800002,0.98699999,0,0.013,0.02,0.029999999,0.015,0.155,0.56,0.56900001,0.146,0.37400001,0.28,0.164,0.035999998,0.122,0.0099999998,6.2859979
"1435","Yellowstone County, Montana","MT",64.858699,52.802,38,0.509,0.87400001,0.0060000001,0.052000001,0.112,0.041000001,0.052000001,0.14,0.514,0.491,0.074000001,0.31200001,0.329,0.20100001,0.083999999,0.112,0.02,11.135231
"1436","Adams County, Nebraska","NE",73.77075,50.635,37.799999,0.49700001,0.87699997,0.0080000004,0.086000003,0.235,0.055,0.133,0.101,0.51999998,0.51700002,0.093000002,0.31999999,0.35699999,0.149,0.079999998,0.096000001,0.057,9.5114079
"1437","Antelope County, Nebraska","NE",87.704653,45.609,46.5,0.50199997,0.958,0.001,0.028999999,0.222,0.016000001,0.061999999,0.092,0.67000002,0.64999998,0.090999998,0.331,0.40099999,0.12800001,0.048999999,0.098999999,0.02,8.0959034
"1438","Arthur County, Nebraska","NE",93.486589,39.375,39.900002,0.50199997,0.98900002,0,0,0,0.039999999,0.046999998,0.121,0.583,0.59899998,0.034000002,0.241,0.398,0.27200001,0.054000001,0.093000002,0.0020000001,5.6094718
"1439","Banner County, Nebraska","NE",94.946808,48.897,50.400002,0.51300001,0.935,0.012,0.037999999,0,0.054000001,0.052999999,0.122,0.69300002,0.62400001,0.054000001,0.29300001,0.47799999,0.113,0.061000001,0.106,0.017000001,5.9964519
"1440","Blaine County, Nebraska","NE",90.196079,48.875,40.400002,0.46799999,0.98699999,0,0,0.479,0.0070000002,0.066,0.236,0.59299999,0.69499999,0.018999999,0.396,0.40200001,0.14,0.043000001,0.096000001,0.0070000002,5.7589016
"1441","Boone County, Nebraska","NE",84.740138,50.306,45.599998,0.50300002,0.97799999,0.001,0.017000001,0.086999997,0.012,0.116,0.074000001,0.61799997,0.59100002,0.067000002,0.42300001,0.345,0.115,0.050999999,0.103,0.011,7.9741888
"1442","Box Butte County, Nebraska","NE",78.939331,51.691,40.799999,0.493,0.82800001,0.001,0.116,0.14300001,0.039000001,0.072999999,0.085000001,0.616,0.60600001,0.093999997,0.338,0.40900001,0.113,0.046,0.090999998,0.02,8.5018768
"1443","Boyd County, Nebraska","NE",88.478845,40.224,50.799999,0.49399999,0.96799999,0.0080000004,0.0049999999,0.235,0.011,0.050999999,0.117,0.63800001,0.65499997,0.064000003,0.41499999,0.34099999,0.145,0.035999998,0.121,0.003,7.052721
"1444","Brown County, Nebraska","NE",90.052015,36.078,47.599998,0.523,0.97000003,0,0.0049999999,0.23100001,0.0070000002,0.033,0.141,0.70200002,0.58399999,0.114,0.412,0.31099999,0.102,0.061999999,0.090000004,0.0020000001,7.3758821
"1445","Buffalo County, Nebraska","NE",75.362092,53.624,32.5,0.50199997,0.87900001,0.011,0.082999997,0.13600001,0.035,0.131,0.078000002,0.51599997,0.5,0.064999998,0.25600001,0.352,0.23100001,0.096000001,0.074000001,0.043000001,9.9584017
"1446","Burt County, Nebraska","NE",71.792537,47.429,47.400002,0.50800002,0.93800002,0.0099999998,0.028000001,0.086000003,0.033,0.097999997,0.094999999,0.60799998,0.60600001,0.093000002,0.39199999,0.345,0.123,0.046999998,0.096000001,0.012,8.1769543
"1447","Butler County, Nebraska","NE",81.671089,51.027,44.700001,0.49599999,0.95499998,0.0060000001,0.028000001,0.037,0.041999999,0.18799999,0.079999998,0.60000002,0.61500001,0.093000002,0.39899999,0.35499999,0.112,0.039999999,0.104,0.02,8.2892885
"1448","Cass County, Nebraska","NE",70.810992,65.619,41.5,0.498,0.94599998,0.0099999998,0.028999999,0.088,0.037999999,0.075000003,0.061999999,0.61799997,0.62099999,0.052999999,0.32100001,0.375,0.169,0.082000002,0.15099999,0.014,9.4675379
"1449","Cedar County, Nebraska","NE",86.083353,52.25,44.799999,0.493,0.972,0.001,0.016000001,0.123,0.022,0.119,0.057999998,0.65499997,0.63200003,0.068999998,0.40599999,0.34799999,0.131,0.046,0.104,0.003,8.3938951
"1450","Chase County, Nebraska","NE",90.599233,52.422,44.900002,0.514,0.87400001,0,0.11,0.315,0.0070000002,0.052999999,0.13,0.71700001,0.616,0.111,0.33199999,0.375,0.147,0.035999998,0.082000002,0.07,7.5485559
"1451","Cherry County, Nebraska","NE",89.217687,48.75,43.900002,0.528,0.89300001,0,0.025,0.18000001,0.026000001,0.039000001,0.093999997,0.70099998,0.66299999,0.090000004,0.31,0.40200001,0.145,0.052000001,0.097000003,0.027000001,8.0449467
"1452","Cheyenne County, Nebraska","NE",83.752286,53.814,39.900002,0.50800002,0.90200001,0.0020000001,0.064000003,0.14300001,0.016000001,0.066,0.072999999,0.579,0.52499998,0.059999999,0.271,0.435,0.176,0.057999998,0.101,0.021,8.4576559
