Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2015-2016,Ben McLemore\mclembe01,SG,22,SAC,68,1443,8.6,0.531,0.407,0.226,2.6,8.5,5.6,7.9,1.7,0.6,16.5,17.6,,-0.4,0.7,0.3,0.01,,-2,-1.2,-3.2,-0.4
2015-2016,Jordan McRae\mcraejo01,PG,24,TOT,22,195,14.2,0.548,0.282,0.359,2.3,9.2,5.7,20.9,0.7,0.4,14.2,23.9,,0.2,0.1,0.4,0.087,,-0.9,-3.3,-4.3,-0.1
2015-2016,Jordan McRae\mcraejo01,PG,24,PHO,7,82,14.2,0.567,0.423,0.577,2.6,8.1,5.3,19.1,1.8,0,15.5,20,,0.1,0,0.2,0.096,,-0.1,-2.9,-3,0
2015-2016,Jordan McRae\mcraejo01,PG,24,CLE,15,113,14.2,0.537,0.212,0.25,2,9.9,6,22.3,0,0.7,13.5,26.7,,0.1,0.1,0.2,0.081,,-1.5,-3.6,-5.2,-0.1
2015-2016,Josh McRoberts\mcrobjo01,PF,28,MIA,42,595,9.9,0.453,0.331,0.27,4.3,15.3,10,19.4,1.6,0.9,15.3,15,,0.1,0.7,0.8,0.064,,-1.9,0.6,-1.4,0.1
2015-2016,Jodie Meeks\meeksjo01,SG,28,DET,3,43,13.5,0.506,0.45,0.2,2.4,10.6,6.3,11.3,0,0,4.4,23.1,,0.1,0,0.1,0.107,,0.1,-4.2,-4.1,0
2015-2016,Salah Mejri\mejrisa01,C,29,DAL,34,397,16.8,0.636,0.013,0.59,11.4,22.6,17,3.9,1,7.6,19,14,,0.6,0.7,1.3,0.156,,-2.6,3.7,1.1,0.3
2015-2016,Jordan Mickey\mickejo01,PF,21,BOS,16,57,15.3,0.398,0,0.455,11,13.3,12.1,2.6,0,15.1,3.6,20.5,,0,0.1,0.1,0.068,,-7.3,4.1,-3.2,0
2015-2016,Khris Middleton\middlkh01,SG,24,MIL,79,2852,16.8,0.56,0.316,0.273,1.8,10.2,6,18.9,2.3,0.6,12.3,23,,4.3,1.8,6.1,0.103,,2.2,-1.6,0.6,1.9
2015-2016,C.J. Miles\milescj01,SF,28,IND,64,1464,14,0.547,0.61,0.196,1.9,11.1,6.5,7,1.8,1.6,9.2,22.8,,1.2,1.9,3.1,0.103,,1,-1.2,-0.2,0.7
2015-2016,Andre Miller\millean02,PG,39,TOT,39,461,13.4,0.6,0.075,0.302,3.1,9.5,6.4,28.3,1.8,0,23.6,15.4,,0.6,0.4,1,0.1,,-1.1,-1.8,-2.9,-0.1
2015-2016,Andre Miller\millean02,PG,39,MIN,26,280,13.7,0.663,0.069,0.328,2.5,7.4,5,31.9,1.6,0,27.4,14.6,,0.5,0.1,0.5,0.088,,-0.8,-3.7,-4.4,-0.2
2015-2016,Andre Miller\millean02,PG,39,SAS,13,181,12.9,0.521,0.083,0.271,3.9,12.8,8.5,22.6,2,0,18.3,16.6,,0.1,0.3,0.4,0.118,,-1.5,1,-0.5,0.1
2015-2016,Mike Miller\millemi01,SF,35,DEN,47,373,6.5,0.508,0.839,0,1.8,14.2,7.9,14.9,1.7,0.9,21.5,9.3,,0.1,0.3,0.3,0.04,,-2.5,-0.3,-2.7,-0.1
2015-2016,Patty Mills\millspa02,PG,27,SAS,81,1662,14.6,0.541,0.523,0.095,1.9,8.7,5.4,20.1,1.8,0.3,10.7,19.7,,2.2,2.6,4.8,0.139,,2.1,-0.4,1.7,1.6
2015-2016,Elijah Millsap\millsel01,SG,28,UTA,20,173,6.5,0.384,0.308,0.462,4.1,19.5,11.8,16.2,2.1,1.5,16.1,14.9,,-0.2,0.3,0.1,0.033,,-4.6,1.8,-2.8,0
2015-2016,Paul Millsap\millspa01,PF,30,ATL,81,2647,21.3,0.556,0.218,0.383,8.4,21.5,15.1,16.4,2.7,4.1,13.3,24.3,,4.1,6,10.1,0.183,,1.1,4.2,5.3,4.9
2015-2016,Nikola Mirotic\mirotni01,PF,24,CHI,66,1646,15.6,0.564,0.568,0.297,3.8,19.1,11.6,9.4,1.8,2,12.9,21.1,,1.8,2.2,3.9,0.115,,1.1,0.1,1.2,1.3
2015-2016,Nazr Mohammed\mohamna01,C,38,OKC,5,19,6,0.68,0,0.4,6.1,16.3,11.5,0,0,0,33.8,19.9,,0,0,0,-0.009,,-7.4,-5.9,-13.2,-0.1
2015-2016,Greg Monroe\monrogr01,C,25,MIL,79,2314,21.8,0.562,0.001,0.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,,5,2.4,7.5,0.155,,1.3,0.2,1.5,2.1
2015-2016,Luis Montero\montelu01,SG,22,POR,12,42,-2.7,0.337,0.474,0.211,0,10.3,5.2,3.5,0,0,16.2,25.7,,-0.2,0,-0.2,-0.238,,-11,-5.9,-16.9,-0.2
2015-2016,E'Twaun Moore\mooreet01,SG,26,CHI,59,1263,11.4,0.548,0.267,0.09,1.6,9.3,5.5,12.1,1.5,1,11.6,15.9,,0.9,1,1.8,0.07,,-1.1,-0.7,-1.8,0.1
2015-2016,Eric Moreland\moreler01,PF,24,SAC,8,48,7.4,0.515,0,0.667,6.8,17.9,12.4,2.7,0,6.7,27.9,9.5,,0,0,0,0.012,,-6.5,1.9,-4.5,0
2015-2016,Marcus Morris\morrima03,SF,26,DET,80,2856,12.7,0.531,0.315,0.287,3.3,12.4,7.7,11,1.2,0.6,11.6,18.4,,2.9,2.5,5.4,0.091,,0.2,0.5,0.7,2
2015-2016,Markieff Morris\morrima02,PF,26,TOT,64,1629,12.2,0.489,0.216,0.205,4.8,19.3,11.9,12.7,1.7,1.7,14.7,24.2,,-1.2,1.7,0.5,0.015,,-2.9,0.1,-2.8,-0.3
2015-2016,Markieff Morris\morrima02,PF,26,PHO,37,917,10.8,0.456,0.176,0.213,5,18.3,11.5,16.1,1.8,1.5,16,26,,-1.3,0.8,-0.5,-0.029,,-3.8,0,-3.8,-0.4
2015-2016,Markieff Morris\morrima02,PF,26,WAS,27,712,14,0.538,0.275,0.192,4.6,20.5,12.4,8.2,1.7,1.9,12.6,21.9,,0.2,0.9,1.1,0.072,,-1.8,0.2,-1.5,0.1
2015-2016,Anthony Morrow\morroan01,SG,30,OKC,68,926,10.7,0.543,0.613,0.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,,1.4,0.5,1.9,0.097,,0.5,-3.2,-2.7,-0.2
2015-2016,Donatas Motiejunas\motiedo01,PF,25,HOU,37,547,11.3,0.504,0.278,0.259,7.4,14.6,11,12.2,1.5,0.8,16.2,21.4,,0,0.3,0.3,0.026,,-2.5,-1.9,-4.3,-0.3
2015-2016,Timofey Mozgov\mozgoti01,C,29,CLE,76,1326,14.6,0.593,0.019,0.265,9.5,19.2,14.4,3.9,0.9,3.5,15,16.1,,1.8,1.9,3.7,0.133,,-2.2,1,-1.2,0.3
2015-2016,Emmanuel Mudiay\mudiaem01,PG,19,DEN,68,2068,9.9,0.437,0.256,0.231,1.7,10.9,6.2,29,1.6,1.4,17.9,25.7,,-3.3,1.2,-2.1,-0.049,,-3.1,-1.2,-4.3,-1.2
2015-2016,Shabazz Muhammad\muhamsh01,SF,23,MIN,82,1682,15.2,0.548,0.223,0.355,7,11.4,9.2,5.2,0.7,0.3,8.2,22.8,,2.6,0.2,2.7,0.077,,0,-4.1,-4.2,-0.9
2015-2016,Xavier Munford\munfoxa02,SG,23,MEM,14,244,9.9,0.481,0.299,0.182,1.3,13.7,7.2,14.3,2.7,1.1,15.3,18,,-0.2,0.2,0.1,0.017,,-2.9,-0.1,-3.1,-0.1
2015-2016,Mike Muscala\muscami01,C,24,ATL,60,565,13.6,0.576,0.257,0.257,7.5,14.9,11.3,9.1,1.1,3.8,13.8,15.5,,0.7,0.9,1.6,0.136,,-2,1.5,-0.5,0.2
2015-2016,Larry Nance\nancela02,PF,23,LAL,63,1266,13.4,0.544,0.033,0.157,8.3,18.6,13.3,5.7,2.1,1.4,11.3,12.6,,1.3,0.9,2.2,0.083,,-2,0.6,-1.4,0.2
2015-2016,Shabazz Napier\napiesh01,PG,24,ORL,55,600,9.6,0.46,0.517,0.224,1.6,8.6,5.1,23.1,1.9,0.1,17.2,19.7,,-0.3,0.4,0.1,0.004,,-2.3,-2.6,-4.9,-0.4
2015-2016,Gary Neal\nealga01,SG,31,WAS,40,807,13.5,0.558,0.308,0.169,1.5,10.2,5.8,9.2,1.2,0.1,7.7,20.5,,0.9,0.5,1.4,0.085,,-0.5,-2.3,-2.8,-0.2
2015-2016,Jameer Nelson\nelsoja01,PG,33,DEN,39,1036,9.5,0.464,0.469,0.114,2,10.4,6.2,27.3,1.2,0.4,17,16.4,,0.1,0.4,0.5,0.024,,-1.2,-1.9,-3.1,-0.3
2015-2016,Raul Neto\netora01,PG,23,UTA,81,1499,10.2,0.53,0.388,0.167,1.3,8,4.7,18.7,2.2,0.1,19.5,17.2,,0.2,1.6,1.8,0.058,,-1.6,-0.7,-2.3,-0.1
2015-2016,Andrew Nicholson\nichoan01,PF,26,ORL,56,823,14.8,0.567,0.368,0.21,4.5,22.8,13.5,4.8,0.6,2.2,10.8,20.4,,0.8,0.8,1.6,0.092,,-1.7,-2,-3.7,-0.4
2015-2016,Joakim Noah\noahjo01,C,30,CHI,29,635,14.1,0.406,0.008,0.338,14.7,27.3,21.1,24.2,1.4,3.3,25.4,14.2,,0,1.1,1.1,0.079,,-2.3,4.3,1.9,0.6
2015-2016,Nerlens Noel\noelne01,C,21,PHI,67,1965,16.2,0.544,0.003,0.387,8.2,22.2,15,10.5,2.9,3.9,18.7,18.8,,0.3,2.8,3,0.074,,-2.7,3.4,0.7,1.3
2015-2016,Lucas Nogueira\noguelu01,C,23,TOR,29,225,15.6,0.642,0.068,0.341,9.3,14,11.7,4.9,2.8,4.4,17.9,12.4,,0.3,0.4,0.7,0.154,,-0.4,2.9,2.6,0.3
2015-2016,Steve Novak\novakst01,PF,32,TOT,10,44,14.4,0.651,0.833,0.056,0,12,6.2,0,0,0,5.1,19.2,,0.1,0,0.1,0.121,,1.3,-8,-6.6,-0.1
2015-2016,Steve Novak\novakst01,PF,32,OKC,7,24,20.8,0.708,0.75,0,0,17.2,9.1,0,0,0,7.7,23.1,,0.1,0,0.1,0.181,,2.9,-8.5,-5.7,0
2015-2016,Steve Novak\novakst01,PF,32,MIL,3,20,6.7,0.543,1,0.167,0,5.7,2.9,0,0,0,0,14.5,,0,0,0,0.05,,-0.5,-7.3,-7.8,0
2015-2016,Dirk Nowitzki\nowitdi01,PF,37,DAL,75,2364,19,0.555,0.308,0.252,2.4,20.3,11.4,10.1,1.1,1.8,6.4,25.5,,4.2,2.6,6.8,0.138,,1.2,-0.3,0.9,1.7
2015-2016,Jusuf Nurkic\nurkiju01,C,21,DEN,32,547,16,0.46,0.012,0.409,12.9,22.7,17.7,12.3,2.2,6.5,16.1,27.2,,-0.5,0.9,0.4,0.031,,-4.1,2.8,-1.3,0.1
2015-2016,J.J. O'Brien\obriejj01,SF,23,UTA,2,6,1.3,0,0,0,0,19.4,9.7,0,8.8,0,0,7.7,,0,0,0,-0.028,,-10.2,5.5,-4.7,0
2015-2016,Johnny O'Bryant\obryajo01,PF,22,MIL,66,857,7.4,0.441,0.005,0.191,8.7,14.7,11.7,5.4,1.1,0.8,12,13.5,,-0.2,0.4,0.3,0.014,,-4.3,-1.7,-6,-0.9
2015-2016,Kyle O'Quinn\oquinky01,PF,25,NYK,65,764,17.5,0.52,0.081,0.221,11,24.5,17.9,15.9,1.3,4.9,17,21.2,,0.5,1.2,1.6,0.103,,-1.8,2.5,0.7,0.5
2015-2016,Jahlil Okafor\okafoja01,C,20,PHI,53,1591,17.1,0.536,0.008,0.248,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,,0.3,0.9,1.2,0.037,,-2.6,-1.5,-4.1,-0.8
2015-2016,Victor Oladipo\oladivi01,SG,23,ORL,72,2379,16.7,0.534,0.291,0.255,2.2,14,8,18.6,2.4,1.9,12.4,22.9,,2.2,2.7,4.9,0.099,,1,0.8,1.8,2.3
2015-2016,Kelly Olynyk\olynyke01,C,24,BOS,69,1395,16.3,0.561,0.378,0.23,5.4,16.2,10.7,11.9,1.8,1.8,10.8,20.9,,2.1,2,4.1,0.141,,0.8,0.4,1.2,1.1
2015-2016,Kelly Oubre\oubreke01,SF,20,WAS,63,671,8.2,0.507,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,,-0.3,0.7,0.4,0.031,,-4.3,-1.6,-5.8,-0.7
2015-2016,Zaza Pachulia\pachuza01,C,31,DAL,76,2004,16.2,0.55,0.006,0.587,13.7,25.7,19.7,9.7,1.6,0.9,16.8,16.2,,3.4,2.7,6,0.145,,-0.8,2.2,1.4,1.7
2015-2016,Kostas Papanikolaou\papanko01,SF,25,DEN,26,294,6,0.464,0.485,0.212,3,12.3,7.5,7.8,2.2,1.4,22.5,13.9,,-0.4,0.2,-0.1,-0.022,,-4.5,0.1,-4.3,-0.2
2015-2016,Jabari Parker\parkeja01,PF,20,MIL,76,2408,14.8,0.535,0.039,0.254,5.9,12.8,9.4,8.9,1.5,1,10.4,20.9,,2.4,1.2,3.6,0.072,,-0.9,-1.5,-2.4,-0.2
2015-2016,Tony Parker\parketo01,PG,33,SAS,72,1980,16.2,0.546,0.092,0.241,1,8.8,5.1,29.1,1.4,0.4,14.3,21.2,,2.9,2.9,5.8,0.142,,0.4,-0.3,0.1,1
2015-2016,Chandler Parsons\parsoch01,SF,27,DAL,61,1799,16.2,0.589,0.386,0.209,1.8,15.6,8.7,16,1.3,1,11.8,20.5,,2.6,1.6,4.3,0.114,,1.6,0.3,1.9,1.8
2015-2016,Lamar Patterson\pattela01,SG,24,ATL,35,395,5.1,0.468,0.613,0.275,1.1,12.4,6.9,13.6,1.1,0.4,20.4,12.8,,-0.3,0.5,0.2,0.025,,-4.6,-0.3,-4.9,-0.3
2015-2016,Patrick Patterson\pattepa01,PF,26,TOR,79,2020,10.6,0.534,0.594,0.069,4.4,14.8,9.7,7.1,1.4,1.3,11.3,12.9,,1.6,2,3.6,0.086,,0.4,0.6,1,1.5
2015-2016,Chris Paul\paulch01,PG,30,LAC,74,2420,26.2,0.575,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,,9.2,3.5,12.7,0.253,,7.3,0.5,7.8,6
2015-2016,Adreian Payne\paynead01,PF,24,MIN,52,486,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,,-0.9,0.4,-0.5,-0.047,,-5.9,-0.2,-6.1,-0.5
2015-2016,Cameron Payne\payneca01,PG,21,OKC,57,698,12.9,0.49,0.399,0.086,1.5,11.2,6.6,22.5,2.6,0.7,13.2,20.3,,0.6,0.8,1.4,0.093,,-0.4,-0.9,-1.3,0.1
2015-2016,Elfrid Payton\paytoel01,PG,21,ORL,73,2145,13.9,0.478,0.126,0.26,3.9,9.6,6.7,32.8,2.1,0.8,17.9,20.4,,0.5,1.7,2.2,0.05,,-0.9,-0.5,-1.3,0.4
2015-2016,Nikola Pekovic\pekovni01,C,30,MIN,12,156,6.5,0.459,0,0.4,5.3,10.3,7.8,10.7,0.3,0,13.3,19.5,,-0.1,0,-0.1,-0.022,,-4.7,-3.5,-8.2,-0.2
2015-2016,Kendrick Perkins\perkike01,C,31,NOP,37,542,6,0.529,0,0.333,4.9,21.8,13.1,7.9,1,1.7,32.3,10.4,,-0.4,0.4,-0.1,-0.007,,-5.6,1.3,-4.3,-0.3
2015-2016,Paul Pierce\piercpa01,SF,38,LAC,68,1231,8.2,0.489,0.61,0.166,1.1,15.2,8.2,8.5,1.3,1.1,12,17.8,,-0.6,1.4,0.9,0.033,,-2.5,-0.3,-2.8,-0.3
2015-2016,Tibor Pleiss\pleisti01,C,26,UTA,12,82,3.5,0.464,0.08,0.08,8.6,12.8,10.7,4,0.6,2.1,23.6,19.1,,-0.2,0.1,-0.1,-0.041,,-7,-1.1,-8.1,-0.1
2015-2016,Mason Plumlee\plumlma01,C,25,POR,82,2084,17.2,0.564,0.008,0.648,10.4,22.2,16.3,16.2,1.6,3.2,18.8,17.1,,3.4,2.7,6.1,0.14,,-0.2,3,2.8,2.5
2015-2016,Miles Plumlee\plumlmi01,C,27,MIL,61,870,17.4,0.606,0,0.253,12.5,18,15.2,2.9,1.2,4.9,13.4,15.5,,1.4,0.8,2.2,0.124,,-1.4,-0.4,-1.8,0
2015-2016,Otto Porter\porteot01,SF,22,WAS,75,2276,14.5,0.564,0.372,0.176,4.7,14.7,9.6,7.9,2.2,1.1,8.3,16.2,,3,2.7,5.6,0.119,,0.8,1,1.8,2.2
2015-2016,Bobby Portis\portibo01,PF,20,CHI,62,1102,13.8,0.469,0.119,0.151,12,20,16.1,7.5,1.1,1.5,10.4,20.7,,0.3,1.3,1.5,0.066,,-2.4,-0.9,-3.3,-0.4
2015-2016,Kristaps Porzingis\porzikr01,PF,20,NYK,72,2047,17.7,0.518,0.274,0.271,7.1,20.7,14,7.9,1.3,5,10.9,24.6,,1.5,2.9,4.4,0.102,,-0.8,0.9,0.2,1.1
2015-2016,Dwight Powell\poweldw01,PF,24,DAL,69,992,16.8,0.557,0.054,0.48,9.3,20.9,15.1,7.2,1.8,2,10,18.4,,1.8,1.3,3.1,0.151,,-1.3,1,-0.3,0.4
2015-2016,Norman Powell\powelno01,SG,22,TOR,49,725,13.3,0.541,0.389,0.231,2.6,14.8,8.8,10.4,2.1,1.1,11.3,17.8,,0.7,0.9,1.6,0.105,,-0.3,-0.1,-0.4,0.3
2015-2016,Phil Pressey\pressph01,PG,24,TOT,23,283,10.6,0.433,0.231,0.321,1.1,11.1,6,40.7,3.1,1.1,27,18.7,,-0.4,0.3,-0.1,-0.017,,-4.8,-1.5,-6.4,-0.3
2015-2016,Phil Pressey\pressph01,PG,24,PHI,14,170,11.8,0.437,0.236,0.327,0,15.2,7.4,43.2,3.2,0.4,23.2,21.1,,-0.2,0.2,0,-0.014,,-4.2,-1.5,-5.7,-0.2
2015-2016,Phil Pressey\pressph01,PG,24,PHO,9,113,8.6,0.422,0.217,0.304,2.8,4.9,3.8,37,3,2.2,34.9,15.1,,-0.2,0.1,-0.1,-0.022,,-5.7,-1.6,-7.3,-0.2
2015-2016,Ronnie Price\pricero01,PG,32,PHO,62,1211,9.6,0.517,0.649,0.136,2.2,6.8,4.4,17.9,3,0.9,17.9,13.7,,0.4,1,1.4,0.056,,-0.7,-0.1,-0.8,0.4
2015-2016,Pablo Prigioni\prigipa01,PG,38,LAC,59,823,10.2,0.482,0.646,0.054,5.1,9.9,7.5,21.8,3.2,0.1,24.6,11,,0.3,1.1,1.5,0.087,,-1.1,1.5,0.4,0.5
2015-2016,Tayshaun Prince\princta01,SF,35,MIN,77,1462,6.3,0.466,0.1,0.083,2.6,9,5.8,7,1.2,0.7,10.2,8.1,,0.1,0.3,0.4,0.014,,-2.9,-0.2,-3.1,-0.4
2015-2016,Julius Randle\randlju01,PF,21,LAL,81,2286,13.9,0.482,0.043,0.323,7.8,32,19.5,11,1.2,1,13.5,21.2,,-0.3,1.9,1.6,0.035,,-3.7,0,-3.6,-0.9
2015-2016,Zach Randolph\randoza01,PF,34,MEM,68,2016,18.3,0.519,0.029,0.238,9.7,20.7,15,12.9,1.1,0.6,9.5,24.6,,2.8,1.5,4.3,0.103,,0.3,-1.1,-0.8,0.6
2015-2016,J.J. Redick\redicjj01,SG,31,LAC,75,2097,17.5,0.632,0.478,0.233,0.5,6.6,3.6,8.6,1,0.2,7.4,22.6,,5.3,1.4,6.7,0.154,,3.5,-2.7,0.8,1.5
2015-2016,Willie Reed\reedwi02,C,25,BRK,39,426,19.2,0.579,0,0.414,12.7,19.6,16.1,3.8,0.7,5.7,9.2,18.1,,0.9,0.3,1.2,0.134,,-1.2,-0.4,-1.6,0
2015-2016,Josh Richardson\richajo01,SG,22,MIA,52,1107,11.4,0.569,0.423,0.232,2.2,8.5,5.5,9.7,1.7,1.7,10.5,13.8,,1.3,1.2,2.5,0.109,,0.2,0.4,0.6,0.7
2015-2016,Austin Rivers\riverau01,SG,23,LAC,67,1464,11.1,0.523,0.359,0.225,1.7,7.9,4.8,10.6,1.6,0.5,9.7,19.4,,0.6,1.3,1.9,0.063,,-1.2,-1,-2.2,-0.1
2015-2016,Andre Roberson\roberan03,SG,24,OKC,70,1553,10.2,0.566,0.376,0.197,5.9,11.4,8.8,4,1.7,2,10.5,9.1,,1.8,1.6,3.4,0.105,,0,1.3,1.4,1.3
2015-2016,Brian Roberts\roberbr01,PG,30,TOT,51,470,13.8,0.552,0.255,0.285,1.4,8.2,4.8,18.6,1.1,0.3,11,19.8,,0.7,0.3,1,0.105,,-1.1,-2.8,-3.9,-0.2
2015-2016,Brian Roberts\roberbr01,PG,30,CHO,30,333,13.9,0.552,0.235,0.322,1.3,8.3,4.8,18.7,1.1,0.2,10.9,19.9,,0.5,0.3,0.8,0.108,,-1.2,-2.6,-3.8,-0.2
2015-2016,Brian Roberts\roberbr01,PG,30,POR,21,137,13.7,0.551,0.3,0.2,1.6,7.9,4.7,18.5,1.1,0.6,11.4,19.6,,0.2,0.1,0.3,0.096,,-0.8,-3.3,-4,-0.1
2015-2016,Glenn Robinson\robingl02,SF,22,IND,45,508,11.4,0.508,0.245,0.258,2.6,12,7.3,7.7,1.7,1.4,9.7,16.1,,0.2,0.6,0.8,0.078,,-3,0,-3,-0.1
2015-2016,Nate Robinson\robinna01,PG,31,NOP,2,23,2.6,0,1,0,0,0,0,21.8,2.2,0,0,1.9,,0,0,0,0.038,,-6.1,-4.7,-10.8,-0.1
2015-2016,Thomas Robinson\robinth01,PF,24,BRK,71,917,14.5,0.453,0.003,0.375,16.4,27.8,22,7.7,2.1,3.2,16.9,19.8,,-0.5,1.1,0.6,0.033,,-3.8,0.9,-2.9,-0.2
2015-2016,Rajon Rondo\rondora01,PG,29,SAC,72,2537,16.9,0.506,0.217,0.192,3.3,15.2,9.3,48,2.7,0.3,24.7,18.8,,2.3,2.3,4.6,0.087,,0.8,0.2,1,1.9
2015-2016,Derrick Rose\rosede01,PG,27,CHI,66,2097,13.4,0.479,0.143,0.171,2.4,8.8,5.6,25.5,1.1,0.5,13.4,27.3,,-0.8,1.2,0.4,0.009,,-1.2,-2.1,-3.3,-0.7
2015-2016,Terrence Ross\rosste01,SF,24,TOR,73,1747,12.9,0.551,0.542,0.099,1.4,10.6,6.1,5.3,1.6,1.2,6.6,18.2,,2.1,1.6,3.6,0.1,,1.1,-1.2,-0.2,0.8
2015-2016,Terry Rozier\roziete01,PG,21,BOS,39,311,5,0.326,0.255,0.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,,-0.6,0.3,-0.3,-0.047,,-5.9,-0.8,-6.6,-0.4
2015-2016,Ricky Rubio\rubiori01,PG,25,MIN,76,2323,17.6,0.529,0.324,0.536,2,14.1,8.2,41.4,3.5,0.4,21,17.7,,3.6,2.2,5.8,0.119,,1.8,0.1,1.9,2.3
2015-2016,Damjan Rudez\rudezda01,SF,29,MIN,33,277,5.5,0.572,0.806,0.129,2.1,6.2,4.2,5.8,0.5,0.3,16.6,12.7,,0.1,0,0.1,0.009,,-1.2,-3.5,-4.7,-0.2
2015-2016,Brandon Rush\rushbr01,SG,30,GSW,72,1055,10.1,0.56,0.604,0.108,2.3,15.4,9.2,7,0.9,1.6,10.8,12.5,,0.8,1.2,2,0.09,,-1.2,-0.2,-1.3,0.2
2015-2016,D'Angelo Russell\russeda01,PG,19,LAL,80,2259,13.2,0.507,0.387,0.199,2.2,11.2,6.5,21.2,2.1,0.5,15.9,24.1,,-0.7,0.7,0,0.001,,-0.2,-1.7,-1.8,0.1
2015-2016,Robert Sacre\sacrero01,C,26,LAL,25,320,10.4,0.474,0,0.507,10.4,13.9,12.1,6.9,0.6,2.5,11.6,14.3,,0.2,0.1,0.3,0.04,,-3.5,-0.8,-4.3,-0.2
2015-2016,JaKarr Sampson\sampsja02,SF,22,TOT,73,1160,8.3,0.504,0.199,0.385,4.2,14,9,6.2,1,2.2,15.9,16.6,,-0.5,0.6,0.1,0.006,,-4.6,-0.8,-5.4,-1
2015-2016,JaKarr Sampson\sampsja02,SF,22,PHI,47,691,7.7,0.49,0.168,0.48,4.6,16.1,10.2,6.9,0.8,1.8,17.2,18.7,,-0.6,0.3,-0.3,-0.021,,-5.8,-1.6,-7.3,-0.9
2015-2016,JaKarr Sampson\sampsja02,SF,22,DEN,26,469,9.3,0.532,0.252,0.217,3.7,10.8,7.2,5.1,1.3,3,13.1,13.5,,0.1,0.3,0.4,0.045,,-2.8,0.2,-2.6,-0.1
2015-2016,Dennis Schroder\schrode01,PG,22,ATL,80,1621,15.5,0.51,0.306,0.233,1.7,11.8,6.9,36.1,2.1,0.4,17.5,28.8,,-0.2,2.3,2.2,0.064,,-0.5,-0.9,-1.4,0.3
2015-2016,Luis Scola\scolalu01,PF,35,TOR,76,1636,13.6,0.523,0.269,0.14,6,19,12.6,6.8,1.5,1.4,9.7,19.5,,1.4,1.9,3.3,0.098,,-0.8,-0.4,-1.2,0.3
2015-2016,Mike Scott\scottmi01,PF,27,ATL,75,1146,14,0.575,0.42,0.168,5.2,14.2,9.8,10.5,1.1,1.2,9.4,17.4,,1.7,1.5,3.2,0.132,,-0.2,-0.4,-0.6,0.4
2015-2016,Thabo Sefolosha\sefolth01,SF,31,ATL,75,1758,12.4,0.578,0.333,0.266,3.3,17.1,10.4,8.8,2.4,1.7,14.1,12.3,,1.3,3.2,4.5,0.122,,-1.7,2.8,1.1,1.4
2015-2016,Kevin Seraphin\serapke01,C,26,NYK,48,526,10.8,0.435,0.01,0.112,6.5,19.5,13.1,14.8,0.8,5.2,16.7,22.2,,-0.8,0.7,-0.2,-0.015,,-5.9,1.5,-4.4,-0.3
2015-2016,Ramon Sessions\sessira01,PG,29,WAS,82,1667,15.9,0.565,0.188,0.478,1.6,12.2,6.8,22,1.3,0.2,13.8,21.8,,2.5,1.3,3.8,0.109,,-0.3,-1.5,-1.8,0.1
2015-2016,Iman Shumpert\shumpim01,SG,25,CLE,54,1316,8.4,0.475,0.479,0.167,2.8,14.6,8.7,9.8,2.1,1.2,14.8,13.2,,-0.1,1.8,1.7,0.063,,-2.1,1.9,-0.2,0.6
2015-2016,Jonathon Simmons\simmojo02,SG,26,SAS,55,813,11.9,0.586,0.194,0.38,2.3,10.8,6.7,10.4,1.5,0.5,15.8,18.9,,0.7,1.3,2,0.119,,-1.1,0.2,-1,0.2
2015-2016,Henry Sims\simshe01,C,25,BRK,14,263,13.9,0.504,0,0.39,8.8,22.2,15.4,5.1,1.7,4.3,11.7,17.3,,0.2,0.3,0.4,0.079,,-3.5,0.9,-2.6,0
2015-2016,Kyle Singler\singlky01,SF,27,OKC,68,977,6.6,0.481,0.439,0.199,5.9,9.6,7.9,3.2,1.5,0.7,11.7,11.9,,0.3,0.8,1.1,0.054,,-1.7,-0.8,-2.5,-0.1
2015-2016,Donald Sloan\sloando01,PG,28,BRK,61,1318,13.9,0.536,0.283,0.297,1.4,13.5,7.4,30,1.2,0.2,16.8,16.1,,1.7,0.3,2,0.071,,-0.3,-2.1,-2.4,-0.1
2015-2016,Marcus Smart\smartma01,PG,21,BOS,61,1667,11.3,0.463,0.456,0.314,4.8,11.6,8.1,15.8,2.7,0.8,11.7,17.4,,0.5,2.4,2.9,0.083,,-0.6,1.3,0.7,1.1
2015-2016,Greg Smith\smithgr02,PF,25,MIN,18,192,7.9,0.545,0,0.531,7.4,17.9,12.7,4.6,1.1,0.4,15.1,10.8,,0.1,0.1,0.2,0.045,,-3,-1.2,-4.3,-0.1
