"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2007","Scott Thorman","2238","ATL","117","307","287","62","33","18","0","11","37","36","14","3","70","3","2","1","6","1","1","0.216027874","0.045602605","0.228013029","0.200000000","0.216027874","0.258169934","0.393728222","0.651898156","0.177700348","0.245192307","24.2419810378298","-13.7339190683022","0.277787232556359","61.7083882071322","0.898989898","0.137614678","0.408256880","0.454128440","0.121212121","0.111111111","0.033707865","0.000000000","0.4455","0.3909","0.1636","0.1727","0.4227","0.4045"
"2007","Tony Pena","2240","KCR","149","536","509","136","102","25","7","2","58","47","10","0","78","4","5","8","13","5","6","0.267190569","0.018656716","0.145522388","0.128205128","0.267190569","0.284090909","0.355599214","0.639690123","0.088408645","0.308755760","43.3077721026197","-22.9954280826792","0.27997282079675","62.8381213794234","2.288461538","0.187648456","0.565320665","0.247030878","0.076923076","0.019230769","0.096638655","0.136363636","0.3409","0.3409","0.3183","0.3025","0.4379","0.2596"
"2007","Nelson Cruz","2434","TEX","88","333","307","72","46","15","2","9","35","34","21","1","87","2","1","1","5","2","4","0.234527687","0.063063063","0.261261261","0.241379310","0.234527687","0.287009063","0.384364820","0.671373883","0.149837133","0.297169811","30.6967235166346","-10.4953765984858","0.293539708310908","70.5181943158936","0.811881188","0.160550458","0.376146788","0.463302752","0.138613861","0.089108910","0.097560975","0.250000000","0.3288","0.3423","0.3288","0.2207","0.4369","0.3423"
"2007","Maicer Izturis","2437","LAA","100","374","336","97","72","17","2","6","47","51","33","2","39","0","4","1","4","7","1","0.288690476","0.088235294","0.104278074","0.846153846","0.288690476","0.348525469","0.404761904","0.753287373","0.116071428","0.308474576","46.4116555999469","0.147855470652456","0.33157111708366","99.404062422287","1.205357142","0.171140939","0.453020134","0.375838926","0.107142857","0.053571428","0.066666666","0.250000000","0.3543","0.3576","0.2881","0.1291","0.5927","0.2781"
"2007","Norris Hopper","2450","CIN","109","335","307","101","85","14","2","0","51","14","20","1","33","1","1","6","8","14","6","0.328990228","0.059701492","0.098507462","0.606060606","0.328990228","0.370820668","0.387622149","0.758442817","0.058631921","0.367272727","43.5893488605397","2.1498487447279","0.338747815024562","96.8123416476187","2.571428571","0.196787148","0.578313253","0.224899598","0.053571428","0.000000000","0.111111111","0.562500000","0.1922","0.3559","0.4520","0.1673","0.5338","0.2989"
"2007","Carlos Ruiz","2579","PHI","115","429","374","97","60","29","2","6","42","54","42","10","49","5","3","5","17","6","1","0.259358288","0.097902097","0.114219114","0.857142857","0.259358288","0.339622641","0.395721925","0.735344566","0.136363637","0.282608695","48.4101756539673","-4.65712449434093","0.318162927736983","84.480030137228","1.293103448","0.181538461","0.461538461","0.356923076","0.094827586","0.051724137","0.033333333","0.125000000","0.3303","0.3814","0.2883","0.1471","0.4835","0.3694"
"2007","Chris Duncan","2722","STL","127","432","375","97","56","20","0","21","51","70","55","3","123","1","1","0","4","2","1","0.258666666","0.127314814","0.284722222","0.447154471","0.258666666","0.354166666","0.480000000","0.834166666","0.221333334","0.327586206","64.3511057602309","10.9127056108855","0.361203952408059","117.279923975847","0.952830188","0.181818181","0.399209486","0.418972332","0.075471698","0.198113207","0.039603960","0.000000000","0.4308","0.3202","0.2490","0.1858","0.4308","0.3834"
"2007","Mike Napoli","3057","LAA","69","263","219","54","32","11","1","10","40","34","33","2","63","5","5","1","5","5","2","0.246575342","0.125475285","0.239543726","0.523809523","0.246575342","0.351145038","0.442922374","0.794067412","0.196347032","0.291390728","35.6701194662544","3.13701937533343","0.345314646684206","108.598585667263","0.780821917","0.187500000","0.356250000","0.456250000","0.082191780","0.136986301","0.052631578","0.500000000","0.5062","0.2901","0.2037","0.1481","0.5494","0.3025"
"2007","Jose Lopez","3114","SEA","146","561","524","132","102","17","2","11","58","62","20","0","64","5","3","9","16","2","3","0.251908396","0.035650623","0.114081996","0.312500000","0.251908396","0.284420289","0.354961832","0.639382121","0.103053436","0.267699115","46.3726518278019","-23.0230483661397","0.282192541745262","68.7176345411199","1.220930232","0.169565217","0.456521739","0.373913043","0.168604651","0.063953488","0.090476190","0.166666666","0.4809","0.3263","0.1928","0.2394","0.5106","0.2500"
"2007","Dioner Navarro","3179","TBD","118","434","388","88","58","19","2","9","46","44","33","3","67","1","5","7","11","3","1","0.226804123","0.076036866","0.154377880","0.492537313","0.226804123","0.285714285","0.355670103","0.641384388","0.128865980","0.249211356","35.3207915028664","-18.3650086471704","0.280671444001063","66.0818754517249","1.015037593","0.170278637","0.417956656","0.411764705","0.105263157","0.067669172","0.022222222","0.300000000","0.4655","0.3273","0.2072","0.1892","0.5075","0.3033"
"2007","Nate McLouth","3190","PIT","128","382","329","85","48","21","3","13","62","38","39","2","77","9","2","3","2","22","1","0.258358662","0.102094240","0.201570680","0.506493506","0.258358662","0.350923482","0.458966565","0.809890047","0.200607903","0.298755186","54.231714778366","6.97831464630592","0.35287017594598","110.2968700495","0.583333333","0.164000000","0.308000000","0.528000000","0.121212121","0.098484848","0.051948051","0.285714285","0.4747","0.2996","0.2257","0.1829","0.5058","0.3113"
"2007","Franklin Gutierrez","3255","CLE","91","301","271","72","44","13","2","13","41","36","21","1","77","1","3","5","7","8","3","0.265682656","0.069767441","0.255813953","0.272727272","0.265682656","0.317567567","0.472324723","0.789892290","0.206642067","0.320652173","39.0758735143952","1.8421734103374","0.338393538079019","105.477860484331","1.037037037","0.149484536","0.432989690","0.417525773","0.074074074","0.160493827","0.083333333","0.250000000","0.4604","0.3465","0.1931","0.1634","0.4653","0.3713"
"2007","Robinson Cano","3269","NYY","160","669","617","189","122","41","7","19","93","97","39","5","85","8","4","1","19","4","5","0.306320907","0.058295964","0.127055306","0.458823529","0.306320907","0.353293413","0.487844408","0.841137821","0.181523501","0.328820116","99.94823480135","17.1929345700721","0.361726595445636","119.387830805555","1.690909090","0.168539325","0.522471910","0.308988764","0.048484848","0.115151515","0.050179211","0.333333333","0.3669","0.3743","0.2588","0.1546","0.4842","0.3613"
"2007","Miguel Montero","3364","ARI","82","244","214","48","31","7","0","10","30","37","20","2","35","3","6","1","7","0","0","0.224299065","0.081967213","0.143442622","0.571428571","0.224299065","0.292181069","0.397196261","0.689377330","0.172897196","0.217142857","23.1938910988032","-6.98890898554928","0.296965406396082","67.9248334365752","0.825581395","0.142076502","0.387978142","0.469945355","0.104651162","0.116279069","0.084507042","0.000000000","0.3441","0.3333","0.3226","0.1882","0.4839","0.3280"
