name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Christopher Murphy,Senate, D, CT,NA,0.268,-0.136,0.304,-0.035
Robert Menendez,Senate, D, NJ,NA,0.262,-0.141,0.3,-0.038
Christopher A. Coons,Senate, D, DE,NA,0.293,-0.114,0.34,-0.047
Edward J. Markey,Senate, D, MA,NA,0.146,-0.272,0.198,-0.051
Richard J. Durbin,Senate, D, IL,NA,0.2,-0.171,0.256,-0.055999999999999994
Jack Reed,Senate, D, RI,NA,0.214,-0.155,0.284,-0.07
Sheldon Whitehouse,Senate, D, RI,NA,0.214,-0.155,0.284,-0.07
Patty Murray,Senate, D, WA,NA,0.214,-0.155,0.284,-0.07
Rand Paul,Senate, R, KY,NA,0.875,0.298,0.9620000000000001,-0.087
Elizabeth Warren,Senate, D, MA,NA,0.095,-0.272,0.19399999999999998,-0.098
Bernard Sanders,Senate, I, VT,NA,0.095,-0.264,0.198,-0.10300000000000001
Tim Kaine,Senate, D, VA,NA,0.33299999999999996,-0.053,0.44,-0.107
Richard Blumenthal,Senate, D, CT,NA,0.171,-0.136,0.304,-0.133
Michael F. Bennet,Senate, D, CO,NA,0.31,-0.049,0.449,-0.14
Catherine Cortez Masto,Senate, D, NV,NA,0.35700000000000004,-0.024,0.503,-0.146
Kirsten E. Gillibrand,Senate, D, NY,NA,0.071,-0.225,0.223,-0.152
Martin Heinrich,Senate, D, NM,NA,0.214,-0.08199999999999999,0.386,-0.171
Ron Wyden,Senate, D, OR,NA,0.16699999999999998,-0.11,0.341,-0.175
Cory A. Booker,Senate, D, NJ,NA,0.11900000000000001,-0.141,0.3,-0.18100000000000002
Tom Udall,Senate, D, NM,NA,0.19,-0.08199999999999999,0.386,-0.195
Bill Nelson,Senate, D, FL,NA,0.381,0.012,0.5870000000000001,-0.20600000000000002
Amy Klobuchar,Senate, D, MN,NA,0.31,-0.015,0.524,-0.214
Jeff Merkley,Senate, D, OR,NA,0.11900000000000001,-0.11,0.341,-0.222
Margaret Wood Hassan,Senate, D, NH,NA,0.31,-0.004,0.55,-0.24100000000000002
Jeanne Shaheen,Senate, D, NH,NA,0.31,-0.004,0.55,-0.24100000000000002
Al Franken,Senate, D, MN,NA,0.262,-0.015,0.524,-0.262
Gary C. Peters,Senate, D, MI,NA,0.293,0.002,0.564,-0.272
Debbie Stabenow,Senate, D, MI,NA,0.28600000000000003,0.002,0.564,-0.278
Robert P. Casey Jr.,Senate, D, PA,NA,0.28600000000000003,0.006999999999999999,0.5760000000000001,-0.29
Joe Donnelly,Senate, D, IN,NA,0.512,0.192,0.893,-0.381
Tammy Baldwin,Senate, D, WI,NA,0.19,0.008,0.5770000000000001,-0.386
Joe Manchin III,Senate, D, WV,NA,0.595,0.42200000000000004,0.9840000000000001,-0.38799999999999996
Claire McCaskill,Senate, D, MO,NA,0.46299999999999997,0.18600000000000003,0.892,-0.428
Heidi Heitkamp,Senate, D, ND,NA,0.5479999999999999,0.35700000000000004,0.976,-0.429
Sherrod Brown,Senate, D, OH,NA,0.31,0.081,0.7390000000000001,-0.429
