RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2016-17),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 12/1/17
118,Hawaii,Mt. West,Nick Rolovich,"$400,008","$402,102","$1,260,000","$60,000",--,"$725,004"
119,Coastal Carolina,Sun Belt,Joe Moglia,"$400,000","$400,000","$525,000",--,"$970,000","$725,003"
120,Louisiana-Monroe,Sun Belt,Matt Viator,"$390,000","$390,000","$50,000",$0,"$900,000","$204,167"
121,New Mexico State,Sun Belt,Doug Martin,"$376,044","$376,044","$135,000",$0,"$702,501","$30,337"
122,Miami (Fla.),ACC,Mark Richt,--,--,--,--,--,--
123,Air Force,Mt. West,Troy Calhoun,--,--,--,--,--,--
124,Southern California,Pac-12,Clay Helton,--,--,--,--,--,--
125,Temple,AAC,Geoff Collins,--,--,--,--,--,--
126,Syracuse,ACC,Dino Babers,--,--,--,--,--,--
127,Tulane,AAC,Willie Fritz,--,--,--,--,--,--
128,Brigham Young,Ind.,Kalani Sitake,--,--,--,--,--,--
129,Baylor,Big 12,Matt Rhule,--,--,--,--,--,--
130,Army,Ind.,Jeff Monken,--,--,--,--,--,--
